name,nation,genre,director,actor,audits
박쥐,한국,"['공포(호러)', '드라마']",['박찬욱'],"['송강호', '김옥빈', '신하균', '김해숙', '송영창', '오달수', '박인환', '라미란', '손종학', '서동수', '황우슬혜', '조덕제', '최희진', '최종률']",청소년관람불가
노잉,미국,"['SF', '액션', '미스터리', '드라마']",['알렉스 프로야스'],"['니콜라스 케이지', '로즈 번', '챈들러 캔터베리']",12세이상관람가
그림자 살인,한국,"['미스터리', '스릴러', '사극', '범죄']",['박대민'],"['송요셉', '황정민', '류덕환', '오달수', '엄지원', '홍서백', '홍의정', '홍의정', '신창수', '김동길', '김경숙', '우승연', '최광락', '정상수', '김춘식', '최유리', '이신우', '이경태', '김요섭', '이정홍', '박진우', '오태경', '유승목', '서동수', '조영진', '엄효섭', '최종률', '윤제문', '고준', '이세랑']",15세이상관람가
슬럼독 밀리어네어,영국,"['드라마', '멜로/로맨스', '범죄']",['대니 보일'],"['데브 파텔', '프리다 핀토']",15세이상관람가
푸시,미국,"['SF', '스릴러', '드라마']",['폴 맥기건'],"['크리스 에반스', '다코타 패닝', '카밀라 벨']",15세이상관람가
슬픔보다 더 슬픈 이야기,한국,"['멜로/로맨스', '드라마']",['원태연'],"['권상우', '이보영', '이범수', '손현수', '김흥국', '최종학', '박정아', '박정환', '조은란', '김민형', '박호진', '김경선', '윤석원', '박미애', '박선영', '정윤미', '정종우', '이승철', '양혜원', '이하진', '이형민', '신현탁', '이한위', '지대한']",15세이상관람가
워낭소리,한국,['다큐멘터리'],['이충렬'],"['최원균', '이삼순', '최종만', '최종민', '김민자']",전체관람가
벤자민 버튼의 시간은 거꾸로 간다,미국,"['드라마', '판타지']",['데이빗 핀처'],"['브래드 피트', '케이트 블란쳇']",12세이상관람가
마린보이,한국,"['액션', '스릴러', '범죄']",['윤종석'],"['김강우', '조재현', '박시연', '강병철', '김호성', '신상열', '홍의정', '김준원', '신창수', '신현규', '안재정', '원동연', '김성규', '정광진', '박상욱', '김철준', '이정범', '이주현', '오대환', '박병은', '조재윤', '이원종', '김태한', '최정우', '엄효섭']",15세이상관람가
적벽대전 2 : 최후의 결전,중국,"['액션', '전쟁', '드라마', '사극']",['오우삼'],"['금성무', '양조위', '조미', '장풍의', '장첸']",15세이상관람가
쌍화점,한국,['드라마'],['유하'],"['조인성', '주진모', '송지효', '심지호', '임주환', '여욱환', '송중기', '노민우', '조강현', '김기방', '홍종현', '김기석', '현우', '박종수', '김효주', '조상민', '박지민', '백승호', '한지원', '서영주', '유정연', '박재연', '박상민', '정광민', '김세정', '김세희', '김태수', '정우진', '박선영', '최승희', '정성일', '이승구', '김수지', '이진아', '이주훈', '서영주', '손종학', '조진웅', '박성훈', '이세랑']",청소년관람불가
