name,nation,genre,director,actor,audits
맨 인 블랙 3,미국,"['액션', '코미디', 'SF']",['배리 소넨필드'],"['윌 스미스', '켄 아놀드', '토미 리 존스', '조슈 브롤린', '제메인 클레멘트', '빌 헤이더', '알렉 볼드윈']",12세이상관람가
어벤져스,미국,"['액션', 'SF']",['조스 웨던'],"['로버트 다우니 주니어', '스칼렛 요한슨', '크리스 헴스워스', '크리스 에반스', '제레미 레너']",12세이상관람가
건축학개론,한국,"['멜로/로맨스', '드라마']",['이용주'],"['엄태웅', '한가인', '이제훈', '배수지', '고준희', '조정석', '박지은', '신민영', '신예진', '유연석', '조현철', '박진우', '김의성', '이승호']",12세이상관람가
배틀쉽,미국,"['SF', '액션']",['피터 버그'],"['리암 니슨', '테일러 키취', '알렉산더 스카스가드', '브룩클린 데커', '리한나']",12세이상관람가
화차,한국,['미스터리'],['변영주'],"['이선균', '김민희', '조성하', '송하윤', '차수연', '임남숙', '임순옥', '장대윤', '황남희', '박지은', '박지혜', '송성원', '오기민', '최덕문', '이희준', '진선규', '최일화', '김성태']",15세이상관람가
러브픽션,한국,"['멜로/로맨스', '코미디']",['전계수'],"['하정우', '공효진', '이병준', '지진희', '유인나', '최유화', '전수지', '장동찬', '정동철', '최재용', '최준용', '이원함', '박재한', '이규원', '이규희', '김재화', '차은재', '아용주', '박준면', '조희봉', '박영수', '서현우']",15세이상관람가
범죄와의 전쟁: 나쁜놈들 전성시대,한국,"['범죄', '드라마']",['윤종빈'],"['최민식', '하정우', '조진웅', '마동석', '곽도원', '김성균', '박성광', '이철민', '임자연', '임헌호', '권종현', '김민주', '박재현', '박태호', '신수정', '이강곤', '이낙준', '권율', '송영창', '박병은', '김홍파', '이희준', '유재명', '장준녕', '김종수', '오만석', '정재헌', '고규필', '이세랑', '박인수']",청소년관람불가
하울링,한국,"['범죄', '드라마']",['유하'],"['송강호', '이여진', '이나영', '박민규', '이태리', '임현성', '정진', '조은별', '주영민', '한민혁', '이승현', '이종혁', '박정률', '박진우', '신정근', '이민아', '조영진', '남보라']",15세이상관람가
댄싱퀸,한국,"['코미디', '드라마']",['이석훈'],"['황정민', '엄정화', '정성화', '오나라', '박정민', '박사랑', '임호걸', '정원영', '이정건', '안은정', '라미란', '송원석', '이대연', '이한위', '최우리', '천보근', '권병길', '조달환']",12세이상관람가
장화신은 고양이,미국,"['애니메이션', '어드벤처', '코미디', '판타지']",['크리스 밀러'],"['안토니오 반데라스', '셀마 헤이엑', '자크 갈리피아나키스']",전체관람가
미션임파서블:고스트프로토콜,미국,['액션'],['브래드 버드'],"['톰 크루즈', '제레미 레너']",15세이상관람가
오싹한 연애,한국,"['공포(호러)', '멜로/로맨스', '코미디']",['황인호'],"['손예진', '이민기', '신동훈', '김혜숙', '조아라', '박재우', '태리', '최우진', '이현진', '이미도', '송지인', '황승언']",12세이상관람가
브레이킹 던 part1,미국,"['드라마', '판타지', '멜로/로맨스']",['빌 콘돈'],"['로버트 패틴슨', '크리스틴 스튜어트']",15세이상관람가
완득이,한국,['드라마'],['이한'],"['김윤석', '유아인', '김효숙', '조병찬', '조세현', '신창수', '정한진', '강별', '박효주', '박종현', '박진아', '서대현', '서왕석', '김광섭', '차선영', '천영암', '최명경', '윤경호', '전승엽', '임정환', '오희준', '김신우', '이경숙', '이유나', '이태영', '김영재', '조덕제', '조상건', '안길강', '김상호', '리우진', '성유빈']",12세이상관람가
리얼 스틸,미국,"['액션', '드라마', 'SF']",['숀 레비'],['휴 잭맨'],12세이상관람가
도가니,한국,['드라마'],['황동혁'],"['정유미', '공유', '허재호', '송은정', '임현성', '최진호', '박진우', '박혜진', '이금용', '배정민', '김봉화', '최보람', '박사현', '전영미', '박선희', '최영수', '이순남', '박승원', '오하나', '이예나', '이차주', '김현수', '장소연', '장광', '전국환', '엄효섭', '남명렬']",청소년관람불가
최종병기 활,한국,"['사극', '액션']",['김한민'],"['박해일', '류승룡', '김무열', '문채원', '이한위', '김구택', '이경영', '박기웅', '이승준', '이재구', '박노식', '이다윗', '전민서', '오타니 료헤이', '강규영', '김홍수', '김길동', '최선미', '조우진', '이미소', '최태환', '박진주', '한성민', '김남수', '강은규', '김기덕', '이상도', '장재욱', '임미주', '박상희', '최유라', '이유비', '이항주', '이동훈', '문영동']",15세이상관람가
가문의 영광4 - 가문의 수난,한국,['코미디'],['정태원'],"['김수미', '신현준', '임형준', '정준하', '탁재훈', '현영', '허필봉', '정웅인', '박정호', '박정환', '한용환', '모상범', '임정빈', '여기한', '오석규', '이창세', '김지우', '김성주', '정만식', '김화섭']",15세이상관람가
7광구,한국,"['SF', '액션', '스릴러']",['김지훈'],"['하지원', '박철민', '김성태', '차예련', '이한위', '오지호', '송새벽', '안성기', '박원희', '김형석', '박정학', '배명호', '장동원', '정상용', '박영수', '오민석']",15세이상관람가
고지전,한국,"['드라마', '전쟁']",['장훈'],"['신하균', '고수', '이제훈', '류승수', '고창석', '이다윗', '류승룡', '김옥빈', '조진웅', '정인기', '강구현', '강내균', '송현석', '조민철', '조민호', '홍서백', '박영서', '박재철', '박종환', '박주용', '하성철', '조형우', '서수석', '김경일', '김상수', '최민', '윤민수', '임재현', '김준영', '김지수', '이주승', '최정우', '전국환', '김강일', '서현우']",15세이상관람가
해리포터와 죽음의 성물2,미국,"['판타지', '미스터리']",['데이빗 예이츠'],"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",전체관람가
트랜스포머 3,미국,"['액션', '어드벤처']",['마이클 베이'],"['조쉬 더하멜', '존 말코비치', '로지 헌팅턴-휘틀리', '샤이아 라보프', '패트릭 뎀시']",12세이상관람가
써니,한국,"['드라마', '코미디']",['강형철'],"['유호정', '심은경', '강소라', '고수희', '홍진희', '강지원', '김민영', '김선경', '진희경', '김보미', '이연경', '박진주', '남보라', '민효린', '윤미라', '조민수', '박윤정', '신윤정', '박영서', '김예원', '천우희', '박중훈', '최형태', '심소희', '최혜선', '전선희', '박혜성', '진승환', '김보름', '김도엽', '고은별', '이상은', '윤수진', '최선아', '박보영', '윤정', '임은채', '최아름', '류혜린', '최영호', '정은지', '이승훈', '이다슬', '한승현', '김새벽', '성지루', '정원중', '정석용', '김원해', '최명길', '이상아', '김영옥', '김보연', '선주아', '김시후', '김혜옥', '고준']",15세이상관람가
쿵푸팬더 2,미국,"['애니메이션', '액션', '어드벤처', '코미디', '가족']",['여인영'],"['더스틴 호프만', '잭 블랙', '안젤리나 졸리', '성룡']",전체관람가
캐리비안의 해적: 낯선 조류,미국,"['액션', '판타지']",['롭 마샬'],"['이안 맥쉐인', '페넬로페 크루즈', '조니 뎁']",12세이상관람가
