yearWeekTime,rank,movieCd,movieNm,openDt,salesAmt,salesAcc,audiCnt,audiAcc,scrnCnt,showCnt
201108,4,20119420,아이 엠 넘버 포,2011-02-24,2283344500,2288186500,302379,302917,284,6588
201108,5,19820019,만추,2011-02-17,1973277500,5464543000,268273,730523,382,10800
201108,6,20101395,라푼젤,2011-02-10,2178979600,8437332400,226420,843023,236,4398
201108,7,20119429,언노운,2011-02-17,1486910000,3054307000,198210,403895,184,5893
201108,8,20119337,그대를 사랑합니다,2011-02-17,1383578000,2843189000,189331,385563,262,6080
201108,9,20119427,메카닉,2011-02-24,955569500,961661500,123023,123847,226,4985
201108,10,20119556,알파 앤 오메가,2011-02-24,883187000,888019000,116784,117388,229,2528
201107,1,20119341,아이들...,2011-02-17,5023408500,5671136500,689844,775768,504,8611
201107,2,20102414,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,4068037000,31268402500,554868,4156972,475,14257
201107,3,19820019,만추,2011-02-17,3456908000,3491265500,458296,462250,444,8373
201107,4,20101395,라푼젤,2011-02-10,2893433600,6258352800,289258,616603,293,7459
201107,5,20119429,언노운,2011-02-17,1567397000,1567397000,205685,205685,186,3824
201107,6,20119337,그대를 사랑합니다,2011-02-17,1236513500,1459611000,165992,196232,242,5363
201107,7,20119418,생텀,2011-02-10,1571077000,4609405500,152593,442845,318,7856
201107,8,20119508,친구와 연인사이,2011-02-10,820167000,1935305500,106455,246689,183,4163
201107,9,20119358,127시간,2011-02-17,775283000,926000000,104069,123932,233,4928
201107,10,20102415,평양성,2011-01-27,578498500,12582395000,81511,1700155,354,6152
201106,1,20102414,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,6377080000,27200365500,862646,3602104,555,19586
201106,2,20101395,라푼젤,2011-02-10,3138991200,3364919200,306160,327345,328,5942
201106,3,20119418,생텀,2011-02-10,3032090500,3038328500,289606,290252,323,6939
201106,4,20102415,평양성,2011-01-27,1866826000,12003896500,258609,1618644,430,12923
201106,5,20102416,글러브,2011-01-20,1381883500,13141161000,192481,1799586,375,9506
201106,6,20102417,걸리버 여행기,2011-01-27,1261227000,16221510500,147230,1733666,442,11582
201106,7,20119508,친구와 연인사이,2011-02-10,1115138500,1115138500,140234,140234,175,3819
201106,8,20119341,아이들...,2011-02-17,630624000,647728000,82483,85924,212,737
201106,9,20119277,상하이,2011-01-27,229521000,1999390000,31561,263473,216,3400
201106,10,20119337,그대를 사랑합니다,2011-02-17,188979500,223097500,25465,30240,137,462
201105,1,20102414,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,15161739000,20823285500,1988612,2739458,634,21368
201105,2,20102417,걸리버 여행기,2011-01-27,9584338500,14960283500,1007630,1586436,527,18914
201105,3,20102415,평양성,2011-01-27,7206329000,10137070500,959777,1360035,483,15369
201105,4,20102416,글러브,2011-01-20,4377435500,11759277500,591288,1607105,403,11092
201105,5,20119277,상하이,2011-01-27,1080504000,1769869000,141625,231912,223,5439
201105,6,20102418,그린 호넷,2011-01-27,1095653100,1988850100,100366,180416,292,5209
201105,7,20102421,메가마인드,2011-01-13,661903500,8596369500,75133,864854,157,2439
201105,8,20102419,타운,2011-01-27,367241000,674572500,47265,86850,158,2782
201105,9,20101223,헬로우 고스트,2010-12-22,234317500,22026844500,31992,3015394,104,1238
201105,10,20119137,가필드 펫 포스 3D,2011-01-27,194934000,365237000,18061,34202,67,1031
201104,1,20102414,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,5581466500,5661546500,738546,750846,529,7335
201104,2,20102417,걸리버 여행기,2011-01-27,5375945000,5375945000,578806,578806,483,6784
201104,3,20102416,글러브,2011-01-20,3366280500,7381842000,468483,1015817,588,10236
201104,4,20102415,평양성,2011-01-27,2912760500,2930741500,396571,400258,420,6289
201104,5,20102421,메가마인드,2011-01-13,929174000,7934466000,98514,789721,338,4349
201104,6,20119277,상하이,2011-01-27,689365000,689365000,90287,90287,216,3339
201104,7,20102418,그린 호넷,2011-01-27,879916000,893197000,78031,80050,316,3901
201104,8,20101223,헬로우 고스트,2010-12-22,507479000,21792527000,70906,2983402,291,3545
201104,9,20110031,러브 & 드럭스,2011-01-13,479080000,3955646000,62630,506008,270,2654
201104,10,20102419,타운,2011-01-27,305775500,307331500,39196,39585,155,1971
201103,1,20102416,글러브,2011-01-20,3976773500,4015561500,537993,547334,605,8032
201103,2,20102421,메가마인드,2011-01-13,3272815000,7005292000,320587,691207,364,8895
201103,3,20101223,헬로우 고스트,2010-12-22,1858513000,21285048000,254297,2912496,296,7164
201103,4,20110031,러브 & 드럭스,2011-01-13,1762785000,3476566000,226529,443378,274,6527
201103,5,20110029,시즌 오브 더 위치: 마녀 호송단,2011-01-13,1372544000,2999886000,183468,397218,220,7095
201103,6,20101399,심장이 뛴다,2011-01-05,1210362500,7356681000,164500,985142,319,6508
201103,7,20101209,라스트 갓파더,2010-12-29,1035797500,18310305500,147543,2512521,306,6787
201103,8,20119155,아프리카 마법여행,2011-01-20,346212000,348922000,37449,37720,150,1470
201103,9,20100962,"울지마, 톤즈",2010-09-09,219815500,2108905000,33709,367673,71,798
201103,10,20101222,황해,2010-12-22,260317500,17451929500,33409,2254603,236,2285
201102,1,20101223,헬로우 고스트,2010-12-22,2705526000,19426535000,368303,2658199,371,8669
201102,2,20102421,메가마인드,2011-01-13,3668172500,3732477000,360727,370620,414,6097
201102,3,20101399,심장이 뛴다,2011-01-05,2530337500,6146318500,339619,820642,425,9360
201102,4,20101209,라스트 갓파더,2010-12-29,2366199500,17274508000,331434,2364978,452,10328
201102,5,20110031,러브 & 드럭스,2011-01-13,1713781000,1713781000,216849,216849,284,4377
201102,6,20110029,시즌 오브 더 위치: 마녀 호송단,2011-01-13,1627342000,1627342000,213750,213750,218,4572
201102,7,20101222,황해,2010-12-22,830911000,17191612000,107545,2221194,355,5040
201102,8,20101224,해리 포터와 죽음의 성물1,2010-12-15,427097500,19983640500,60660,2820200,261,2960
201102,9,20101348,새미의 어드벤쳐,2010-12-15,409285500,9105441000,44663,966889,213,2033
201102,10,20110030,꿀벌 하치의 대모험,2011-01-13,263381500,267175500,38809,39333,141,1221
201101,1,20101209,라스트 갓파더,2010-12-29,5204437500,14908308500,720418,2033544,490,13908
201101,2,20101223,헬로우 고스트,2010-12-22,3943599000,16721009000,537340,2289896,400,10304
201101,3,20101399,심장이 뛴다,2011-01-05,3455282000,3615981000,453415,481023,445,8408
